TRACT,GEOID,TOTPOP,WHT_PCT,HOUSVCNY_PCT,SQMILES,OI_ALLCOMP-LEV,OI_EDCOMP-LEV,OI_HECOMP-LEV,OI_NBCOMP-LEV,OI_ALLCOMP,OI_EDCOMP,OI_HECOMP,OI_NBCOMP,CNPY_MEAN,CNPY_STD,CNPY_VRTY,CNPY_MED,IMPSRF_MEAN,IMPSRF_STD,IMPSRF_VRTY,IMPSRF_MED
54.10,39049005410,1362,0.067547724,35.79545455,0.39296357,Very Low,Very Low,Very Low,Very Low,-1.374102,-1.115394,-0.475162,-2.531752,16.50220264,13.62692801,74,13,54.58075905,22.71022921,98,54
53,39049005300,3054,0.220694172,32.4775353,0.56557481,Very Low,Low,Low,Very Low,-0.500927,-0.390625,-0.288515,-0.823642,11.53690037,7.40583718,47,11,60.01411043,21.34310244,99,60
79.33,39049007933,7626,0.892735379,2.574808629,2.14000205,High,High,Moderate,Moderate,0.219274,0.425195,0.07003,0.162596,9.88347939,9.937195985,69,7,48.08817798,25.13617062,100,46
79.22,39049007922,4101,0.904413558,5.750605327,3.07300603,Very High,Very High,High,High,0.435906,0.690634,0.179892,0.437194,9.097062147,13.24551997,91,4,32.54513575,29.13612922,101,28
79.21,39049007921,7719,0.854514834,4.384672071,3.84555579,High,Very High,Moderate,Moderate,0.26554,0.652399,0.065857,0.078366,7.744469526,11.63590167,87,4,21.49502892,24.30676918,101,11
63.84,39049006384,6194,0.812076203,6.220095694,0.94985035,Very High,Very High,High,Very High,0.503837,0.741585,0.294842,0.475084,13.26886447,9.558546288,63,11,40.6207402,23.16827466,100,42
63.83,39049006383,8813,0.791104051,6.541809549,3.51002389,Very High,Very High,Very High,High,0.630752,1.051711,0.432062,0.408482,27.62110573,26.25724527,94,17,26.31114628,27.66459743,101,15
62.30,39049006230,13127,0.708920545,8.512688725,11.82552085,Very High,Very High,Very High,Very High,0.567147,0.749514,0.384727,0.5672,7.736526594,13.9738155,93,3,17.84271479,26.40508394,101,0
75.50,39049007550,2871,0.30163706,5.113077679,2.37286462,Very Low,Very Low,Low,Very Low,-0.482965,-0.693576,-0.195582,-0.559738,28.21256392,28.73831892,93,15,28.90534016,31.7305678,101,16
52,39049005200,2584,0.895897833,11.67227834,0.33924031,Very High,High,Very High,Very High,0.544003,0.304471,0.398088,0.92945,8.646341463,6.596602879,42,6,76.65545362,15.80924591,64,77
40,39049004000,2941,0.645358722,15.12539185,0.9108744,Very High,Very High,High,Very High,0.453635,0.644816,0.214362,0.501726,6.92791411,6.665842327,55,5,78.13091603,25.62054352,101,88
38,39049003800,1896,0.500527426,21.95121951,0.28101063,Very Low,Very Low,Low,Very Low,-0.479014,-0.814044,-0.1632,-0.459798,11.84662577,5.484817664,31,11,65.50372208,17.20535323,83,65
37,39049003700,3303,0.294580684,21.0419828,0.82299569,Low,Very Low,Moderate,Low,-0.340179,-0.69133,-0.049212,-0.279996,18.97545493,14.02948012,74,16,43.91311683,25.43557373,101,46
36,39049003600,1442,0.167128988,27.63295099,0.26631906,Low,Low,Very Low,Low,-0.334978,-0.263607,-0.362173,-0.379152,11.44183007,6.839204693,36,10,61.56062581,18.78260072,89,61
32,39049003200,2147,0.8388449,11.75675676,0.63121701,High,Moderate,High,Very High,0.364546,-0.012061,0.296115,0.809584,8.749862259,8.088369961,54,6,65.78119846,26.99219969,99,70
30,39049003000,3105,0.670531401,13.02982732,1.59518983,High,Very High,High,High,0.405197,0.593425,0.298985,0.32318,5.940230385,5.444002009,47,5,77.16024385,22.50396612,101,84
29,39049002900,2368,0.040962838,39.20056101,0.31942893,Very Low,Very Low,Very Low,Very Low,-1.089363,-0.793094,-0.65775,-1.817246,7.631236443,5.735929724,27,6,53.9423913,23.46495877,100,55
70.20,39049007020,6372,0.92341494,4.310344828,1.71574753,Very High,Very High,Very High,High,0.655323,0.789678,0.779255,0.397038,19.1322548,15.03933169,88,16,37.07511642,23.28342032,101,38
71.15,39049007115,5380,0.451115242,8.719135802,0.68912587,Moderate,Moderate,Very High,Low,0.073834,-0.041568,0.458692,-0.195622,17.15925177,16.75051628,85,12,48.59150657,27.04405963,101,50
71.20,39049007120,5117,0.804768419,7.164948454,1.31736496,Very High,Very High,Very High,Moderate,0.584612,0.591492,0.991392,0.170952,19.60100343,20.97989101,93,13,39.97895291,26.39131543,101,42
71.32,39049007132,7422,0.75397467,7.311062432,2.28922135,Very High,High,Very High,High,0.459651,0.341269,0.584273,0.45341,40.74548216,34.23724328,95,24,22.4088079,27.57608785,101,4
71.93,39049007193,6316,0.91608613,2.36,1.75626025,Very High,Very High,Very High,Very High,0.729499,0.831204,0.82396,0.533332,22.60934099,18.62141091,89,17,30.76092545,21.41885256,101,32
71.94,39049007194,6417,0.886551348,3.903903904,1.89824824,Very High,Very High,Very High,High,0.715641,0.957472,0.81409,0.37536,25.12525179,24.76981496,93,16,32.46876717,25.25661456,101,33
28,39049002800,2629,0.105363256,27.54786905,0.44062739,Very Low,Very Low,Very Low,Very Low,-0.619383,-0.610927,-0.436708,-0.810514,10.73015873,6.980486064,40,10,55.61599367,20.16622838,99,56
27.80,39049002780,2423,0.59389187,5.100334448,0.68358692,Moderate,Moderate,Low,High,0.000052,-0.10039,-0.200852,0.301398,24.54162437,16.15309194,88,20,37.37677485,22.13327527,101,39
27.70,39049002770,1995,0.271177945,15.55772994,0.36116659,Very Low,Very Low,Low,Very Low,-0.742402,-0.952724,-0.262215,-1.012266,14.99807507,10.11864155,57,14,46.89241114,23.90876732,99,46
27.60,39049002760,3066,0.562948467,12.11441391,0.50021164,Low,Low,Low,Moderate,-0.193664,-0.39408,-0.25224,0.065328,16.36860304,8.943287374,52,15,48.60776161,17.92561811,100,47
27.50,39049002750,2349,0.29544487,14.53541858,0.37330377,Very Low,Very Low,Low,Very Low,-0.664392,-1.134157,-0.29543,-0.563588,15.74299065,9.822743132,58,14,47.65668849,20.59446293,99,48
27.40,39049002740,2316,0.751727116,8.479262673,0.5440048,Low,Very Low,Very Low,Moderate,-0.236029,-0.562052,-0.343925,0.197892,26.15591054,12.48876704,62,23,38.04408946,16.40244581,96,39
27.30,39049002730,2104,0.271387833,17.86355476,0.36595549,Very Low,Very Low,Very Low,Very Low,-0.67871,-0.934221,-0.493453,-0.608456,12.7667611,11.29973593,54,11,58.29839471,25.69869188,100,53
27.10,39049002710,1858,0.228202368,16.08695652,0.32802981,Very Low,Very Low,Very Low,Low,-0.52678,-0.895118,-0.410593,-0.274628,11.77176221,8.981221792,48,10,46.77989418,23.61481505,100,46
26,39049002600,4028,0.237835154,16.19097042,1.39149494,Very Low,Very Low,Low,Very Low,-0.668258,-0.939052,-0.23031,-0.835412,14.90032557,17.33165481,89,10,46.8145927,32.14555861,101,48
25.20,39049002520,2648,0.173716012,18.96766169,0.61638521,Very Low,Very Low,Very Low,Moderate,-0.381534,-0.892898,-0.360305,0.108602,20.97072072,17.09434073,84,17,44.9001692,25.65662592,101,47
69.42,39049006942,1167,0.548414739,4.448398577,0.13929214,Moderate,Low,High,Very High,0.049181,-0.507923,0.181065,0.4744,16.99259259,16.55346577,61,12,49.305,25.70704135,96,48
69.43,39049006943,4489,0.603029628,5.639913232,0.7179473,Moderate,Low,Very High,Low,-0.006954,-0.327744,0.38879,-0.081908,13.56410256,8.300193119,56,12,48.31976744,19.4130809,100,48
69.44,39049006944,4112,0.70963035,4.124263524,0.98754286,High,Moderate,Very High,High,0.247324,0.035007,0.383262,0.323702,21.78102962,19.39489249,93,16,39.18095238,24.68210708,101,42
69.45,39049006945,5353,0.378479357,11.20377085,0.75997001,Moderate,Moderate,Very High,Low,0.087636,-0.021931,0.371858,-0.087018,10.30695334,9.089396271,63,8,46.8913242,26.4069326,99,51
69.90,39049006990,6376,0.729140527,7.681564246,2.96366789,Very High,Very High,Very High,Very High,0.599513,0.717439,0.534308,0.546792,35.33954743,32.52653826,95,19,21.38959212,27.20882803,101,4
74.24,39049007424,5470,0.764351005,5.96112311,1.69590988,High,High,High,High,0.372918,0.538715,0.226353,0.353686,22.76530821,19.49241751,91,16,33.36734276,25.34900563,101,35
25.10,39049002510,2856,0.130602241,13.69356033,1.91257454,Low,Low,Very Low,Low,-0.286686,-0.358776,-0.353025,-0.148258,14.86447153,16.48113475,91,10,42.55640327,30.1974331,101,43
23,39049002300,1453,0.113558156,31.98090692,0.99349827,Very Low,Very Low,Very Low,Very Low,-0.851658,-0.706556,-0.488568,-1.359848,8.513607816,9.269854671,63,6,63.52848654,26.09907004,100,65
22,39049002200,1851,0.786061588,8.721422523,0.26976491,Moderate,Moderate,High,Moderate,0.054747,-0.147249,0.116453,0.195036,8.55136541,6.679571273,34,6,72.95714286,19.67454634,79,74
21,39049002100,1808,0.911504425,5.296442688,0.20271827,High,Low,Very High,Very High,0.403293,-0.218889,0.461362,0.967406,13.79137931,10.37169199,49,12,58.48287671,26.88884491,96,64
20,39049002000,3252,0.872386224,6.535600425,0.26856031,High,Low,Very High,Very High,0.230672,-0.3423,0.350317,0.684,14.18499353,7.410923891,44,13,63.88745149,14.08986168,74,63
18.20,39049001820,2598,0.842186297,11.21311475,0.33742955,High,Moderate,Moderate,Very High,0.30656,0.122024,0.022427,0.77523,12.43402062,8.711662838,49,11,67.17010309,19.51977409,90,65
18.10,39049001810,4434,0.717410916,5.489994869,0.152515,Moderate,Very Low,Moderate,Moderate,-0.089723,-0.543389,0.069967,0.204254,8.920993228,6.284854912,29,6,74.34537246,13.23908964,56,74
17,39049001700,2704,0.616863905,13.1010453,0.19812556,Low,Low,Low,Moderate,-0.198443,-0.507816,-0.104662,0.01715,7.606326889,4.881336578,26,6,73.93368237,17.09012554,74,76
74.92,39049007492,5738,0.798361799,3.275934481,2.46433644,Very High,Very High,Very High,Very High,0.706427,1.030905,0.56498,0.523396,29.19602593,25.56192695,93,19,23.60050747,26.04013795,101,13
93.26,39049009326,1747,0.304522038,11.21121121,0.31106399,Low,Very Low,Moderate,Moderate,-0.20783,-0.671241,-0.0347,0.082452,37.59865471,26.00250761,86,34,24.75167785,30.66417786,96,1
93.62,39049009362,6436,0.732131759,6.398910824,1.60966705,Moderate,Low,Moderate,Moderate,0.025901,-0.18716,0.09808,0.166782,20.12321968,15.22633614,86,17,34.62251941,22.83853464,101,35
93.71,39049009371,5528,0.348408104,10.37957676,1.33800251,Moderate,High,Moderate,Moderate,0.104085,0.20967,0.053157,0.049428,18.67778936,17.68433195,90,13,39.16857738,30.53065473,101,40
93.72,39049009372,4306,0.359498374,7.121836374,0.88519887,Low,Very Low,Very High,Very Low,-0.338823,-0.726715,0.329893,-0.619648,18.99254024,16.30855381,87,15,37.12392157,22.17117755,101,41
93.73,39049009373,5773,0.293781396,10.06928406,1.22858708,Very Low,Low,Moderate,Very Low,-0.422438,-0.330124,-0.014243,-0.922948,15.62857143,16.71232015,87,10,26.98275375,24.0673705,99,28
93.74,39049009374,8056,0.441285998,8.57538036,2.5274533,Moderate,Moderate,High,Low,-0.037645,-0.161997,0.233382,-0.184318,10.11952191,12.10533301,88,6,50.73673357,31.20945507,101,51
16,39049001600,1682,0.283590963,27.5974026,0.18925754,Very Low,Very Low,Very Low,Very Low,-0.597437,-0.541491,-0.501508,-0.749312,8.391143911,6.012759724,30,8,68.72794118,17.14298301,71,66
15,39049001500,2031,0.048744461,16.32420091,0.50662032,Very Low,Very Low,Very Low,Very Low,-0.931319,-0.718125,-0.434982,-1.64085,10.04112406,11.3388078,65,7,58.99245024,23.45598423,100,60
14,39049001400,1543,0.140635126,28.03129074,0.71611546,Very Low,Low,Very Low,Very Low,-0.597708,-0.321528,-0.632758,-0.838838,7.372149442,7.343104559,50,5,71.95191841,20.58114208,92,74
13,39049001300,6583,0.860397995,6.218274112,0.26410175,Very Low,Very Low,Moderate,Low,-0.416151,-1.146723,-0.039445,-0.062286,11.05526316,6.137854818,36,10,69.10686016,14.70888771,66,68
12,39049001200,4822,0.897552883,4.257703081,0.25914733,Low,Very Low,Moderate,Moderate,-0.329186,-1.019079,-0.010395,0.041916,17.55555556,15.31614387,69,13,59.60053619,22.66136535,94,61
11.10,39049001110,3688,0.809924078,3.711340206,0.20643678,Moderate,Moderate,High,High,0.099864,-0.172821,0.189457,0.282958,17.8487395,18.54526085,72,12,51.76806723,29.31131061,95,56
10,39049001000,5830,0.896054889,6.114398422,0.34509794,High,Moderate,Moderate,Very High,0.145981,-0.004551,-0.030025,0.47252,16.36746988,8.657558507,54,15,59.28385155,14.03880101,79,58
9.20,39049000920,2069,0.208313195,26.44003777,0.35351147,Very Low,Low,Very Low,Very Low,-0.706645,-0.368175,-0.650707,-1.101052,15.75171737,8.546483446,48,14,50.27815867,21.01109736,100,49
9.10,39049000910,3409,0.236726313,20.58449809,0.49668853,Very Low,Very Low,Very Low,Very Low,-0.806768,-0.823476,-0.510398,-1.08643,14.80451658,7.560942758,47,14,47.24895397,16.10530469,96,48
8.20,39049000820,3121,0.479333547,14.87979207,0.55904125,Very Low,Very Low,Very Low,Very Low,-0.58605,-0.786822,-0.301858,-0.669468,17.78358209,12.83691928,74,16,49.38781852,21.2270276,101,49
3.10,39049000310,3147,0.678423896,11.27482383,0.71583456,Moderate,Moderate,Moderate,Low,-0.112872,-0.039012,-0.06715,-0.232454,14.7423283,12.0001764,74,12,49.78442822,23.50778203,100,50
2.20,39049000220,3727,0.948752348,2.376708259,0.75108444,Very High,High,Very High,Very High,0.574154,0.540453,0.47108,0.71093,25.26875288,16.93199968,90,23,46.51433858,22.93220971,101,45
2.10,39049000210,2935,0.944804089,3.948264125,0.66188961,High,High,High,Very High,0.377906,0.300645,0.238615,0.594458,37.98894737,25.63298418,93,27,31.49212185,21.98373494,98,35
1.20,39049000120,3162,0.953826692,3.341740227,1.11188318,Very High,High,Very High,Very High,0.432938,0.419879,0.326722,0.552214,29.66499687,21.41242702,91,23,32.76148796,24.08510372,101,35
94.10,39049009410,2874,0.651009047,6.018518519,0.49844213,Low,Very Low,High,Very Low,-0.370436,-0.807139,0.244313,-0.548482,15.31542219,12.19295408,69,14,37.05080028,20.45048149,94,40
94.20,39049009420,5793,0.712238909,13.54679803,1.58245205,Low,Low,Moderate,Very Low,-0.241874,-0.208909,-0.008108,-0.508604,23.31702501,21.49475123,92,16,27.24565648,24.23124884,100,29
95.90,39049009590,4732,0.910819949,6.738809641,18.38047539,Moderate,Low,Moderate,Low,-0.121613,-0.328954,0.091778,-0.127664,13.63074916,19.83923573,93,5,13.20986278,25.85629824,101,0
94.40,39049009440,4385,0.843329532,9.734042553,3.48903082,Low,Low,Low,Moderate,-0.208731,-0.51226,-0.19513,0.081196,11.33446249,16.76450836,92,5,17.78852475,24.41697092,101,3
8.10,39049000810,2540,0.63976378,9.965034965,0.38390513,Low,Very Low,Low,Low,-0.323012,-0.666409,-0.218798,-0.083828,16.79014599,9.00079749,49,16,44.36832579,15.22397167,87,46
7.30,39049000730,3090,0.057928803,28.65497076,0.40266651,Very Low,Moderate,Very Low,Very Low,-0.561019,-0.034964,-0.852475,-0.795618,13.05584192,6.198420863,37,12,54.59741379,12.66678361,73,52
7.20,39049000720,2384,0.249161074,19.05579399,0.84454717,Very Low,Very Low,Very Low,Very Low,-0.603826,-0.749278,-0.377102,-0.685098,8.281713344,7.6126712,49,6,55.43392343,24.76965637,100,52
7.10,39049000710,3102,0.640554481,13.44086022,0.50583738,Very Low,Very Low,Low,Very Low,-0.599135,-0.828,-0.298028,-0.671376,13.44436906,7.575756621,50,12,51.36714976,18.83037274,99,50
6,39049000600,3780,0.861111111,9.600389864,0.37894268,Moderate,Low,High,High,0.084456,-0.339789,0.140432,0.452724,19.45387454,18.16805248,81,13,56.30904059,22.53892638,90,58
5,39049000500,4057,0.864924821,4.225352113,0.48781233,High,Moderate,High,Very High,0.356263,0.120254,0.320245,0.62829,23.62464589,19.22155494,90,18,47.50921986,24.76227943,101,52
4.20,39049000420,3139,0.935648296,4.868913858,0.56615056,High,High,High,Very High,0.388254,0.198584,0.277877,0.688302,29.09661538,21.52050659,90,22,42.07357449,23.63202956,100,45
4.10,39049000410,2419,0.918974783,6.369915579,0.29901945,Very High,High,High,Very High,0.450737,0.332637,0.277018,0.742556,22.13372093,14.23815796,74,20,45.83833718,22.0284135,97,49
3.30,39049000330,2314,0.701382887,10.71115013,0.30727265,Very Low,Very Low,Low,Very Low,-0.467668,-0.618955,-0.09149,-0.692558,15.64172336,7.249738801,43,15,46.07579186,13.96585696,83,48
3.20,39049000320,2390,0.80460251,5.263157895,0.49254671,Low,Very Low,Moderate,Moderate,-0.215147,-0.721626,0.044838,0.031348,18.40338505,11.11813928,66,16,38.84344147,18.78385038,93,42
1.10,39049000110,3344,0.962021531,5.338470006,0.75792551,High,High,High,Very High,0.38074,0.263002,0.29298,0.586236,26.88165138,19.15139425,89,21,38.34832492,21.43655186,100,41
97.52,39049009752,6124,0.881450033,4.735883424,3.14861143,High,Moderate,High,High,0.137431,-0.064645,0.20143,0.275508,7.955032593,11.6026101,89,4,18.85029279,22.61255902,99,7
97.40,39049009740,13583,0.941397335,5.180767797,15.48797563,High,High,Very High,High,0.368241,0.339711,0.524538,0.240472,16.900781,23.32792954,95,6,13.11946863,23.22927618,101,0
97.20,39049009720,6810,0.907342144,5.102362205,2.75615764,Moderate,High,Low,Moderate,0.069018,0.204225,-0.084683,0.087512,14.5681302,17.62799596,93,8,43.33039203,29.49782021,101,43
85,39049008500,4280,0.943925234,4.917234664,1.22109293,Very High,High,Very High,Very High,0.666842,0.474661,0.604995,0.92087,13.22206426,16.29460757,92,9,60.13287905,27.73140118,101,60
84,39049008400,2962,0.948683322,6.597938144,0.86279634,Very High,Very High,High,Very High,0.58763,0.753598,0.201182,0.808112,23.44144869,16.97130648,88,20,45.87454765,25.24102438,101,46
74.25,39049007425,2867,0.83850715,4.048234281,0.97309133,High,High,Moderate,High,0.25948,0.364891,0.027922,0.385628,22.90987124,18.62036289,87,17,29.77623126,24.42569978,100,30
74.27,39049007427,6030,0.773466003,4.16487763,2.80200385,High,Very High,Moderate,Very High,0.410979,0.677828,0.087475,0.467634,21.27341521,23.92374944,93,12,35.38876488,30.35698691,101,34
74.26,39049007426,2823,0.894438541,5.648854962,1.08093635,High,High,High,High,0.395354,0.504587,0.296012,0.385462,30.24758842,21.87432209,91,22,30.28474903,26.28025006,101,30
70.10,39049007010,3802,0.792740663,4.219030521,1.09972616,Very High,Very High,Very High,Moderate,0.553628,0.779549,0.798783,0.082552,26.43537201,23.45539723,92,18,32.64012638,29.11979454,101,31
